show_id,type,title,date_added,release_year,rating,duration,listed_in,description
s242,Movie,Being the Queen,23-Apr-21,2020,TV-14,44 min,"Biographical, Documentary",Being the Queen tells the story of Queen Elizabeth II from those who know her best.
s243,TV Show,Liv and Maddie,23-Apr-21,2013,TV-G,4 Seasons,"Comedy, Coming of Age, Kids",The series follows 15-year-old twins Liv and Maddie.
s244,TV Show,Secrets of the Whales,22-Apr-21,2021,TV-PG,1 Season,"Animals & Nature, Docuseries",Secrets of the Whales reveals the mysterious and beautiful world of whales.
s245,TV Show,Big Shot,16-Apr-21,2021,TV-PG,1 Season,"Comedy, Drama, Sports","After being ousted from NCAA, a men’s basketball coach takes a job at an elite private high school."
s246,TV Show,Earth Moods,16-Apr-21,2021,TV-G,1 Season,"Animals & Nature, Anthology",Relax and reset as you journey around the world with Earth Moods.
s247,TV Show,Primal Survivor,16-Apr-21,2014,TV-PG,5 Seasons,"Docuseries, Reality, Survival",Hazen Audel relives his most thrilling moments and reveals what it takes to become Primal Survivor.
s248,Movie,Rio,16-Apr-21,2011,G,99 min,"Action-Adventure, Animation, Comedy","Blu, a rare macaw leaves his home in small town Minnesota and heads to Rio to help save his species."
s249,Movie,The Kid Who Would Be King,16-Apr-21,2019,PG,121 min,"Action-Adventure, Coming of Age, Family","When a kid discovers the legendary sword, Excalibur, he and his friends join Merlin to fight evil!"
s250,Movie,Treasure Buddies,16-Apr-21,2012,G,96 min,"Action-Adventure, Comedy, Kids",Travel across the globe on a treasure hunt with the adorable thrill-seeking Buddies.
s251,Movie,White Fang 2: Myth of the White Wolf,16-Apr-21,1994,PG,106 min,"Action-Adventure, Animals & Nature, Drama",A dog-wolf stops miners from destroying a sacred land.
s252,Movie,Cesar Millan: The Real Story,9-Apr-21,2012,TV-PG,45 min,"Biographical, Documentary",Follow Cesar Millan's incredible rise from impoverished illegal immigrant to celebrity dog trainer.
s253,TV Show,Future-Worm!,9-Apr-21,2016,TV-Y7,1 Season,"Family, Kids","One boy, one worm... these are their adventures!"
s254,TV Show,Kick Buttowski: Suburban Daredevil,9-Apr-21,2010,TV-Y7,2 Seasons,"Action-Adventure, Animation",Kick Buttowski is an extraordinary kid determined to become the worlds greatest daredevil.
s255,Movie,Man of the House,9-Apr-21,1995,PG,97 min,"Comedy, Coming of Age, Crime",A man joins the YMCA to impress the son of the woman of his dreams.
s256,Movie,Mark Twain and Me,9-Apr-21,1991,TV-PG,93 min,"Biographical, Coming of Age, Drama","A shy 11 -year- old is thrilled to meet Mark Twain, the man she most admires in all the world."
s257,Movie,Squanto: A Warrior's Tale,9-Apr-21,1994,PG,102 min,"Action-Adventure, Biographical, Drama",A vivid true story of one man's unquenchable thirst for independence.
s258,Movie,Caravan of Courage: An Ewok Adventure,2-Apr-21,1984,TV-PG,97 min,"Action-Adventure, Fantasy, Science Fiction","After Cindel and Mace are separated from their parents, courageous Ewoks aid in reuniting them."
s259,Movie,Ewoks: The Battle for Endor,2-Apr-21,1985,TV-PG,97 min,"Action-Adventure, Fantasy, Science Fiction",The adventures of the Ewoks continue as Wicket and friends confront the evil Marauders.
s260,TV Show,Higglytown Heroes,2-Apr-21,2004,TV-Y,2 Seasons,"Animation, Kids, Musical","You're invited to meet the heroes all around you, since everyone's a hero in their own way!"
s261,Movie,Island at the Top of the World,2-Apr-21,1974,G,94 min,"Action-Adventure, Fantasy, Survival",A man commissions an airship and crew to search for his missing son.
s262,TV Show,Made in a Day,2-Apr-21,2020,TV-PG,1 Season,Reality,This is the story of how today’s biggest brands are made today.
s263,Movie,Night at the Museum,2-Apr-21,2006,PG,109 min,"Action-Adventure, Comedy, Family",A new guard at the Natural History Museum finds that when visitors leave the exhibits come to life.
s264,TV Show,Secrets Of The Zoo,2-Apr-21,2017,TV-PG,4 Seasons,"Animals & Nature, Docuseries, Family",Go behind the scenes at The Columbus Zoo and Aquarium.
s265,Movie,Sharks Of The Bermuda Triangle,2-Apr-21,2020,TV-PG,45 min,"Animals & Nature, Documentary",The Bermuda Triangle’s greatest wonder may be the secret breeding grounds of tiger sharks.
